Frame,Volume
0,83.24454664093346
1,69.94861750534524
2,56.22834936868832
3,157.20088479973063
4,74.66415715479793
5,79.79017939115519
6,124.20869534778956
7,72.02695202618126
8,90.5551062763844
9,330.19897582573395
10,284.67597209969983
11,376.2355524257256
12,363.30300401630694
13,223.01614291346712
14,996.3479448830751
15,650.9166194333537
16,264.2396123356086
17,402.0370516620215
18,1027.0340571497395
19,3415.1349341104838
20,3229.946626353276
21,1526.8713972160078
22,4643.511593415248
23,5832.860145916254
24,7109.067019722707
25,5432.215077245612
26,7306.855432338244
27,5631.576413403266
28,3247.4849891178023
29,6872.077937699643
30,3784.6913096170615
31,5794.872631747985
32,4723.353201237058
33,3152.769153674851
34,5258.726829151365
35,2738.6732255535044
36,4094.788289565608
37,4034.992514356017
38,1259.218549158745
39,2235.397048319686
40,1094.276880368534
41,643.2556115714668
42,773.7468049574215
43,466.3603854219493
44,663.1852408161416
45,413.4911233520123
46,856.4935068479663
47,700.3482640151905
48,804.7008591565394
49,980.0418451177572
50,364.2697926237939
51,994.0413883828892
52,594.2589885349195
53,383.0323034086622
54,399.2460508144183
55,771.8670987817904
56,477.5223364599627
57,604.4053726973765
58,3298.8237958950817
59,2410.048405775664
60,4280.696491757557
61,3547.995047142182
62,2122.0521735510483
63,3999.630414744024
64,1891.837317626343
65,3824.659715107167
66,3999.7365129127284
67,1910.503798383129
68,4129.022307784473
69,1684.6590321324534
70,3787.056317847076
71,2013.705327364097
72,2874.98084262392
73,2264.6433955682533
74,1219.2688531917956
75,2062.310178592753
76,974.090802188939
77,2164.5013429509263
78,1178.3030864919108
79,1989.6142865115614
80,1630.8838819375328
81,1583.86741582403
82,1873.479502277659
83,748.3113292303849
84,1545.3237524868373
85,836.7984442884896
86,1131.273735059894
87,915.5621422730608
88,778.5627551047916
89,818.4738014355521
90,644.2951963192028
91,623.5234558539078
92,518.4926141316681
93,380.43131024954005
94,467.8806374590542
95,289.05535801987827
96,341.00790446717053
97,281.63946972874896
98,261.8585669610775
99,228.2472742045744
100,352.50587358098153
101,176.66823041046072
102,268.9819865546931
103,293.9863942429989
104,212.83354571546795
105,226.1113764175844
106,178.1853478314594
107,299.5177639291047
108,296.31239657435253
109,142.95898966931995
110,161.02676231551754
111,131.01231725577284
112,111.56930817351065
